Threshold,Discriminatory,Modifier,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,22,0,0,0,FALSE,0,22,0,22,0,22,8
1200,50,1,0,0,30,0,0,0,FALSE,0,30,0,30,0,30,8
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,31,0,0,0,FALSE,0,31,0,31,0,31,8
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,39,0,0,0,FALSE,0,39,0,39,0,39,8
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
