Predation Risk,Foraging Success,Threshold,Discriminatory,Modifier,Purple,Blue,Orange,Red,Pop Bust,purple pop max,blue pop max,orange pop max,red pop max,Diversifying,Focusing,Equitable,Inequitable,Total
0.00017,0.87,1,33,0,0,0,0,0,FALSE,24,60,36,12,0,0,0,0,0
0.00017,0.87,1,33,0,0,38,0,0,FALSE,15,82,38,11,38,0,0,38,38
0.00017,0.87,1,33,0,0,0,0,0,FALSE,17,45,18,12,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,18,40,15,13,0,0,0,0,0
0.00017,0.87,1,33,0,0,85,0,0,FALSE,25,137,14,20,85,0,0,85,85
0.00017,0.87,1,33,0,0,0,0,0,FALSE,22,85,11,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,89,0,0,TRUE,30,147,13,25,89,0,0,89,89
0.00017,0.87,1,33,0,0,0,0,0,FALSE,14,52,21,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,44,0,0,FALSE,17,105,18,15,44,0,0,44,44
0.00017,0.87,1,33,0,0,0,0,0,FALSE,11,13,14,9,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,68,20,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,30,82,44,20,0,0,0,0,0
0.00017,0.87,1,33,0,0,66,0,0,FALSE,26,117,21,19,66,0,0,66,66
0.00017,0.87,1,33,0,0,0,0,0,FALSE,38,118,20,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,11,54,26,11,0,0,0,0,0
0.00017,0.87,1,33,0,0,39,0,0,FALSE,32,123,19,20,39,0,0,39,39
0.00017,0.87,1,33,0,0,32,0,0,FALSE,9,95,18,18,32,0,0,32,32
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,79,17,11,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,109,20,19,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,34,37,9,21,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,13,57,17,10,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,17,26,11,16,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,22,55,12,21,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,26,15,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,TRUE,27,121,17,28,0,0,0,0,0
0.00017,0.87,1,33,0,0,51,0,0,FALSE,20,103,20,16,51,0,0,51,51
0.00017,0.87,1,33,0,0,0,0,0,FALSE,28,26,20,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,40,67,28,18,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,18,71,28,20,0,0,0,0,0
